Time: 2e-09s, Dequeued packet 0
Time: 0.7s, Dequeued packet 6
Time: 0.702198s, Dequeued packet 12
Time: 0.702285s, Dequeued packet 15
Time: 0.70241s, Dequeued packet 17
Time: 0.704813s, Dequeued packet 19
Time: 0.707216s, Dequeued packet 21
Time: 0.709619s, Dequeued packet 23
Time: 0.712022s, Dequeued packet 25
Time: 0.714426s, Dequeued packet 27
Time: 0.716829s, Dequeued packet 29
Time: 0.719232s, Dequeued packet 31
Time: 0.721635s, Dequeued packet 33
Time: 0.724038s, Dequeued packet 40
Time: 0.726442s, Dequeued packet 42
Time: 0.728845s, Dequeued packet 52
Time: 0.731248s, Dequeued packet 54
Time: 0.733651s, Dequeued packet 56
Time: 0.736054s, Dequeued packet 58
Time: 0.738458s, Dequeued packet 64
Time: 0.740861s, Dequeued packet 66
Time: 0.743264s, Dequeued packet 72
Time: 0.745667s, Dequeued packet 74
Time: 0.74807s, Dequeued packet 80
Time: 0.750474s, Dequeued packet 82
Time: 0.752877s, Dequeued packet 88
Time: 0.75528s, Dequeued packet 90
Time: 0.757683s, Dequeued packet 96
Time: 0.760086s, Dequeued packet 98
Time: 0.76249s, Dequeued packet 104
Time: 0.764893s, Dequeued packet 106
Time: 0.767296s, Dequeued packet 112
Time: 0.769699s, Dequeued packet 114
Time: 0.772102s, Dequeued packet 120
Time: 0.774506s, Dequeued packet 122
Time: 0.776909s, Dequeued packet 128
Time: 0.779312s, Dequeued packet 130
Time: 0.781715s, Dequeued packet 136
Time: 0.784118s, Dequeued packet 138
Time: 0.786522s, Dequeued packet 144
Time: 0.788925s, Dequeued packet 146
Time: 0.791328s, Dequeued packet 152
Time: 0.793731s, Dequeued packet 154
Time: 0.796134s, Dequeued packet 160
Time: 0.798538s, Dequeued packet 162
Time: 0.800941s, Dequeued packet 168
Time: 0.803344s, Dequeued packet 170
Time: 0.805747s, Dequeued packet 176
Time: 0.80815s, Dequeued packet 178
Time: 0.810554s, Dequeued packet 184
Time: 0.812957s, Dequeued packet 186
Time: 0.81536s, Dequeued packet 192
Time: 0.817763s, Dequeued packet 194
Time: 0.820166s, Dequeued packet 200
Time: 0.82257s, Dequeued packet 202
Time: 0.824973s, Dequeued packet 208
Time: 0.827376s, Dequeued packet 210
Time: 0.829779s, Dequeued packet 220
Time: 0.832182s, Dequeued packet 222
Time: 0.834586s, Dequeued packet 224
Time: 0.836989s, Dequeued packet 226
Time: 0.839392s, Dequeued packet 232
Time: 0.841795s, Dequeued packet 234
Time: 0.844198s, Dequeued packet 240
Time: 0.846602s, Dequeued packet 242
Time: 0.849005s, Dequeued packet 248
Time: 0.851408s, Dequeued packet 250
Time: 0.853811s, Dequeued packet 256
Time: 0.856214s, Dequeued packet 258
Time: 0.858618s, Dequeued packet 264
Time: 0.861021s, Dequeued packet 266
Time: 0.863424s, Dequeued packet 272
Time: 0.865827s, Dequeued packet 274
Time: 0.86823s, Dequeued packet 280
Time: 0.870634s, Dequeued packet 282
Time: 0.873037s, Dequeued packet 288
Time: 0.87544s, Dequeued packet 290
Time: 0.877843s, Dequeued packet 296
Time: 0.880246s, Dequeued packet 298
Time: 0.88265s, Dequeued packet 304
Time: 0.885053s, Dequeued packet 306
Time: 0.887456s, Dequeued packet 312
Time: 0.889859s, Dequeued packet 314
Time: 0.892262s, Dequeued packet 320
Time: 0.894666s, Dequeued packet 322
Time: 0.897069s, Dequeued packet 328
Time: 0.899472s, Dequeued packet 330
Time: 0.901875s, Dequeued packet 336
Time: 0.904278s, Dequeued packet 338
Time: 0.906682s, Dequeued packet 344
Time: 0.909085s, Dequeued packet 346
Time: 0.911488s, Dequeued packet 352
Time: 0.913891s, Dequeued packet 354
Time: 0.916294s, Dequeued packet 360
Time: 0.918698s, Dequeued packet 362
Time: 0.921101s, Dequeued packet 368
Time: 0.923504s, Dequeued packet 370
Time: 0.925907s, Dequeued packet 376
Time: 0.92831s, Dequeued packet 378
Time: 0.930714s, Dequeued packet 384
Time: 0.933117s, Dequeued packet 386
Time: 0.93552s, Dequeued packet 392
Time: 0.937923s, Dequeued packet 394
Time: 0.940326s, Dequeued packet 400
Time: 0.94273s, Dequeued packet 402
Time: 0.945133s, Dequeued packet 408
Time: 0.947536s, Dequeued packet 410
Time: 0.949939s, Dequeued packet 416
Time: 0.952342s, Dequeued packet 418
Time: 0.954746s, Dequeued packet 424
Time: 0.957149s, Dequeued packet 426
Time: 0.959552s, Dequeued packet 432
Time: 0.961955s, Dequeued packet 434
Time: 0.964358s, Dequeued packet 440
Time: 0.966762s, Dequeued packet 442
Time: 0.969165s, Dequeued packet 448
Time: 0.971568s, Dequeued packet 450
Time: 0.973971s, Dequeued packet 456
Time: 0.976374s, Dequeued packet 458
Time: 0.978778s, Dequeued packet 464
Time: 0.981181s, Dequeued packet 466
Time: 0.983584s, Dequeued packet 472
Time: 0.985987s, Dequeued packet 474
Time: 0.98839s, Dequeued packet 484
Time: 0.990794s, Dequeued packet 486
Time: 0.993197s, Dequeued packet 488
Time: 0.9956s, Dequeued packet 490
Time: 0.998003s, Dequeued packet 496
Time: 1.00041s, Dequeued packet 498
Time: 1.00281s, Dequeued packet 504
Time: 1.00521s, Dequeued packet 506
Time: 1.00762s, Dequeued packet 512
Time: 1.01002s, Dequeued packet 514
Time: 1.01242s, Dequeued packet 520
Time: 1.01483s, Dequeued packet 522
Time: 1.01723s, Dequeued packet 528
Time: 1.01963s, Dequeued packet 530
Time: 1.02204s, Dequeued packet 536
Time: 1.02444s, Dequeued packet 538
Time: 1.02684s, Dequeued packet 544
Time: 1.02924s, Dequeued packet 546
Time: 1.03165s, Dequeued packet 552
Time: 1.03405s, Dequeued packet 554
Time: 1.03645s, Dequeued packet 560
Time: 1.03886s, Dequeued packet 562
Time: 1.04126s, Dequeued packet 569
Time: 1.04366s, Dequeued packet 571
Time: 1.04607s, Dequeued packet 573
Time: 1.04847s, Dequeued packet 575
Time: 1.05087s, Dequeued packet 582
Time: 1.05328s, Dequeued packet 584
Time: 1.05568s, Dequeued packet 586
Time: 1.05808s, Dequeued packet 588
Time: 1.06049s, Dequeued packet 595
Time: 1.06289s, Dequeued packet 597
Time: 1.06529s, Dequeued packet 599
Time: 1.0677s, Dequeued packet 601
Time: 1.0701s, Dequeued packet 611
Time: 1.0725s, Dequeued packet 613
Time: 1.07491s, Dequeued packet 615
Time: 1.07731s, Dequeued packet 617
Time: 1.07971s, Dequeued packet 623
Time: 1.08212s, Dequeued packet 625
Time: 1.08452s, Dequeued packet 631
Time: 1.08692s, Dequeued packet 633
Time: 1.08932s, Dequeued packet 639
Time: 1.09173s, Dequeued packet 641
Time: 1.09413s, Dequeued packet 647
Time: 1.09653s, Dequeued packet 649
Time: 1.09894s, Dequeued packet 655
Time: 1.10134s, Dequeued packet 657
Time: 1.10374s, Dequeued packet 663
Time: 1.10615s, Dequeued packet 665
Time: 1.10855s, Dequeued packet 671
Time: 1.11095s, Dequeued packet 673
Time: 1.11336s, Dequeued packet 679
Time: 1.11576s, Dequeued packet 681
Time: 1.11816s, Dequeued packet 687
Time: 1.12057s, Dequeued packet 689
Time: 1.12297s, Dequeued packet 695
Time: 1.12537s, Dequeued packet 697
Time: 1.12778s, Dequeued packet 703
Time: 1.13018s, Dequeued packet 705
Time: 1.13258s, Dequeued packet 711
Time: 1.13499s, Dequeued packet 713
Time: 1.13739s, Dequeued packet 719
Time: 1.13979s, Dequeued packet 721
Time: 1.1422s, Dequeued packet 727
Time: 1.1446s, Dequeued packet 729
Time: 1.147s, Dequeued packet 735
Time: 1.1494s, Dequeued packet 737
Time: 1.15181s, Dequeued packet 743
Time: 1.15421s, Dequeued packet 745
Time: 1.15661s, Dequeued packet 751
Time: 1.15902s, Dequeued packet 753
Time: 1.16142s, Dequeued packet 759
Time: 1.16382s, Dequeued packet 766
Time: 1.16623s, Dequeued packet 773
Time: 1.16863s, Dequeued packet 780
Time: 1.17103s, Dequeued packet 787
