Time: 0.923187s, Dropped packet 761
Time: 0.92559s, Dropped packet 768
Time: 0.927994s, Dropped packet 775
Time: 0.930397s, Dropped packet 782
Time: 0.9328s, Dropped packet 789
Time: 0.935203s, Dropped packet 796
Time: 0.937606s, Dropped packet 803
Time: 0.94001s, Dropped packet 810
Time: 0.942413s, Dropped packet 817
Time: 0.947219s, Dropped packet 827
Time: 0.947219s, Dropped packet 828
Time: 0.952026s, Dropped packet 838
Time: 0.952026s, Dropped packet 839
Time: 0.956832s, Dropped packet 849
Time: 0.956832s, Dropped packet 850
Time: 0.961638s, Dropped packet 860
Time: 0.961638s, Dropped packet 861
Time: 0.966445s, Dropped packet 871
Time: 0.966445s, Dropped packet 872
Time: 0.971251s, Dropped packet 882
Time: 0.971251s, Dropped packet 883
Time: 0.976058s, Dropped packet 893
Time: 0.976058s, Dropped packet 894
Time: 0.980864s, Dropped packet 904
Time: 0.980864s, Dropped packet 905
Time: 0.98567s, Dropped packet 915
Time: 0.98567s, Dropped packet 916
Time: 0.990477s, Dropped packet 926
Time: 0.990477s, Dropped packet 927
Time: 1.00009s, Dropped packet 946
Time: 1.00009s, Dropped packet 947
Time: 1.00009s, Dropped packet 948
Time: 1.00009s, Dropped packet 949
Time: 1.0049s, Dropped packet 959
Time: 1.0049s, Dropped packet 960
Time: 1.0097s, Dropped packet 970
Time: 1.0097s, Dropped packet 971
Time: 1.01451s, Dropped packet 981
Time: 1.01451s, Dropped packet 982
Time: 1.01932s, Dropped packet 992
Time: 1.01932s, Dropped packet 993
Time: 1.02412s, Dropped packet 1003
Time: 1.02412s, Dropped packet 1004
Time: 1.02893s, Dropped packet 1014
Time: 1.02893s, Dropped packet 1015
Time: 1.03854s, Dropped packet 1034
Time: 1.03854s, Dropped packet 1035
Time: 1.03854s, Dropped packet 1036
Time: 1.03854s, Dropped packet 1037
Time: 1.04335s, Dropped packet 1047
Time: 1.04335s, Dropped packet 1048
Time: 1.04815s, Dropped packet 1058
Time: 1.04815s, Dropped packet 1059
Time: 1.05296s, Dropped packet 1069
Time: 1.05296s, Dropped packet 1070
Time: 1.05536s, Dropped packet 1077
Time: 1.05777s, Dropped packet 1084
Time: 1.06017s, Dropped packet 1091
Time: 1.06257s, Dropped packet 1098
Time: 1.06498s, Dropped packet 1105
Time: 1.06738s, Dropped packet 1112
Time: 1.06978s, Dropped packet 1119
Time: 1.07219s, Dropped packet 1126
Time: 1.07459s, Dropped packet 1133
Time: 1.07699s, Dropped packet 1140
Time: 1.0794s, Dropped packet 1147
Time: 1.0818s, Dropped packet 1154
Time: 1.0842s, Dropped packet 1161
Time: 1.0866s, Dropped packet 1168
Time: 1.08901s, Dropped packet 1175
Time: 1.09141s, Dropped packet 1182
Time: 1.09381s, Dropped packet 1189
Time: 1.09622s, Dropped packet 1196
Time: 1.09862s, Dropped packet 1203
Time: 1.10102s, Dropped packet 1210
Time: 1.10343s, Dropped packet 1217
Time: 1.10583s, Dropped packet 1224
Time: 1.10823s, Dropped packet 1231
Time: 1.11064s, Dropped packet 1238
Time: 1.11304s, Dropped packet 1245
Time: 1.11544s, Dropped packet 1252
Time: 1.11785s, Dropped packet 1259
Time: 1.12025s, Dropped packet 1266
Time: 1.12265s, Dropped packet 1273
Time: 1.12506s, Dropped packet 1280
Time: 1.12746s, Dropped packet 1287
Time: 1.12986s, Dropped packet 1294
Time: 1.13227s, Dropped packet 1301
Time: 1.13467s, Dropped packet 1308
Time: 1.13707s, Dropped packet 1315
Time: 1.13948s, Dropped packet 1322
Time: 1.14188s, Dropped packet 1329
Time: 1.14428s, Dropped packet 1336
Time: 1.14668s, Dropped packet 1343
Time: 1.14909s, Dropped packet 1350
Time: 1.15149s, Dropped packet 1357
Time: 1.15389s, Dropped packet 1364
Time: 1.1563s, Dropped packet 1371
Time: 1.1587s, Dropped packet 1378
Time: 1.1611s, Dropped packet 1385
Time: 1.16351s, Dropped packet 1392
Time: 1.16591s, Dropped packet 1399
Time: 1.89408s, Dropped packet 3218
