Time: 2e-09s, Enqueued packet 0
Time: 0.7s, Enqueued packet 6
Time: 0.702198s, Enqueued packet 12
Time: 0.702198s, Enqueued packet 15
Time: 0.702198s, Enqueued packet 17
Time: 0.702198s, Enqueued packet 19
Time: 0.702198s, Enqueued packet 21
Time: 0.702198s, Enqueued packet 23
Time: 0.702198s, Enqueued packet 25
Time: 0.702198s, Enqueued packet 27
Time: 0.702198s, Enqueued packet 29
Time: 0.702198s, Enqueued packet 31
Time: 0.702198s, Enqueued packet 33
Time: 0.704496s, Enqueued packet 40
Time: 0.704496s, Enqueued packet 42
Time: 0.709302s, Enqueued packet 52
Time: 0.709302s, Enqueued packet 54
Time: 0.709302s, Enqueued packet 56
Time: 0.709302s, Enqueued packet 58
Time: 0.711706s, Enqueued packet 64
Time: 0.711706s, Enqueued packet 66
Time: 0.714109s, Enqueued packet 72
Time: 0.714109s, Enqueued packet 74
Time: 0.716512s, Enqueued packet 80
Time: 0.716512s, Enqueued packet 82
Time: 0.718915s, Enqueued packet 88
Time: 0.718915s, Enqueued packet 90
Time: 0.721318s, Enqueued packet 96
Time: 0.721318s, Enqueued packet 98
Time: 0.723722s, Enqueued packet 104
Time: 0.723722s, Enqueued packet 106
Time: 0.726125s, Enqueued packet 112
Time: 0.726125s, Enqueued packet 114
Time: 0.728528s, Enqueued packet 120
Time: 0.728528s, Enqueued packet 122
Time: 0.730931s, Enqueued packet 128
Time: 0.730931s, Enqueued packet 130
Time: 0.733334s, Enqueued packet 136
Time: 0.733334s, Enqueued packet 138
Time: 0.735738s, Enqueued packet 144
Time: 0.735738s, Enqueued packet 146
Time: 0.738141s, Enqueued packet 152
Time: 0.738141s, Enqueued packet 154
Time: 0.740544s, Enqueued packet 160
Time: 0.740544s, Enqueued packet 162
Time: 0.742947s, Enqueued packet 168
Time: 0.742947s, Enqueued packet 170
Time: 0.74535s, Enqueued packet 176
Time: 0.74535s, Enqueued packet 178
Time: 0.747754s, Enqueued packet 184
Time: 0.747754s, Enqueued packet 186
Time: 0.750157s, Enqueued packet 192
Time: 0.750157s, Enqueued packet 194
Time: 0.75256s, Enqueued packet 200
Time: 0.75256s, Enqueued packet 202
Time: 0.754963s, Enqueued packet 208
Time: 0.754963s, Enqueued packet 210
Time: 0.75977s, Enqueued packet 220
Time: 0.75977s, Enqueued packet 222
Time: 0.75977s, Enqueued packet 224
Time: 0.75977s, Enqueued packet 226
Time: 0.762173s, Enqueued packet 232
Time: 0.762173s, Enqueued packet 234
Time: 0.764576s, Enqueued packet 240
Time: 0.764576s, Enqueued packet 242
Time: 0.766979s, Enqueued packet 248
Time: 0.766979s, Enqueued packet 250
Time: 0.769382s, Enqueued packet 256
Time: 0.769382s, Enqueued packet 258
Time: 0.771786s, Enqueued packet 264
Time: 0.771786s, Enqueued packet 266
Time: 0.774189s, Enqueued packet 272
Time: 0.774189s, Enqueued packet 274
Time: 0.776592s, Enqueued packet 280
Time: 0.776592s, Enqueued packet 282
Time: 0.778995s, Enqueued packet 288
Time: 0.778995s, Enqueued packet 290
Time: 0.781398s, Enqueued packet 296
Time: 0.781398s, Enqueued packet 298
Time: 0.783802s, Enqueued packet 304
Time: 0.783802s, Enqueued packet 306
Time: 0.786205s, Enqueued packet 312
Time: 0.786205s, Enqueued packet 314
Time: 0.788608s, Enqueued packet 320
Time: 0.788608s, Enqueued packet 322
Time: 0.791011s, Enqueued packet 328
Time: 0.791011s, Enqueued packet 330
Time: 0.793414s, Enqueued packet 336
Time: 0.793414s, Enqueued packet 338
Time: 0.795818s, Enqueued packet 344
Time: 0.795818s, Enqueued packet 346
Time: 0.798221s, Enqueued packet 352
Time: 0.798221s, Enqueued packet 354
Time: 0.800624s, Enqueued packet 360
Time: 0.800624s, Enqueued packet 362
Time: 0.803027s, Enqueued packet 368
Time: 0.803027s, Enqueued packet 370
Time: 0.80543s, Enqueued packet 376
Time: 0.80543s, Enqueued packet 378
Time: 0.807834s, Enqueued packet 384
Time: 0.807834s, Enqueued packet 386
Time: 0.810237s, Enqueued packet 392
Time: 0.810237s, Enqueued packet 394
Time: 0.81264s, Enqueued packet 400
Time: 0.81264s, Enqueued packet 402
Time: 0.815043s, Enqueued packet 408
Time: 0.815043s, Enqueued packet 410
Time: 0.817446s, Enqueued packet 416
Time: 0.817446s, Enqueued packet 418
Time: 0.81985s, Enqueued packet 424
Time: 0.81985s, Enqueued packet 426
Time: 0.822253s, Enqueued packet 432
Time: 0.822253s, Enqueued packet 434
Time: 0.824656s, Enqueued packet 440
Time: 0.824656s, Enqueued packet 442
Time: 0.827059s, Enqueued packet 448
Time: 0.827059s, Enqueued packet 450
Time: 0.829462s, Enqueued packet 456
Time: 0.829462s, Enqueued packet 458
Time: 0.831866s, Enqueued packet 464
Time: 0.831866s, Enqueued packet 466
Time: 0.834269s, Enqueued packet 472
Time: 0.834269s, Enqueued packet 474
Time: 0.839075s, Enqueued packet 484
Time: 0.839075s, Enqueued packet 486
Time: 0.839075s, Enqueued packet 488
Time: 0.839075s, Enqueued packet 490
Time: 0.841478s, Enqueued packet 496
Time: 0.841478s, Enqueued packet 498
Time: 0.843882s, Enqueued packet 504
Time: 0.843882s, Enqueued packet 506
Time: 0.846285s, Enqueued packet 512
Time: 0.846285s, Enqueued packet 514
Time: 0.848688s, Enqueued packet 520
Time: 0.848688s, Enqueued packet 522
Time: 0.851091s, Enqueued packet 528
Time: 0.851091s, Enqueued packet 530
Time: 0.853494s, Enqueued packet 536
Time: 0.853494s, Enqueued packet 538
Time: 0.855898s, Enqueued packet 544
Time: 0.855898s, Enqueued packet 546
Time: 0.858301s, Enqueued packet 552
Time: 0.858301s, Enqueued packet 554
Time: 0.860704s, Enqueued packet 560
Time: 0.860704s, Enqueued packet 562
Time: 0.86551s, Enqueued packet 569
Time: 0.86551s, Enqueued packet 571
Time: 0.86551s, Enqueued packet 573
Time: 0.86551s, Enqueued packet 575
Time: 0.870317s, Enqueued packet 582
Time: 0.870317s, Enqueued packet 584
Time: 0.870317s, Enqueued packet 586
Time: 0.870317s, Enqueued packet 588
Time: 0.875123s, Enqueued packet 595
Time: 0.875123s, Enqueued packet 597
Time: 0.875123s, Enqueued packet 599
Time: 0.875123s, Enqueued packet 601
Time: 0.87993s, Enqueued packet 611
Time: 0.87993s, Enqueued packet 613
Time: 0.87993s, Enqueued packet 615
Time: 0.87993s, Enqueued packet 617
Time: 0.882333s, Enqueued packet 623
Time: 0.882333s, Enqueued packet 625
Time: 0.884736s, Enqueued packet 631
Time: 0.884736s, Enqueued packet 633
Time: 0.887139s, Enqueued packet 639
Time: 0.887139s, Enqueued packet 641
Time: 0.889542s, Enqueued packet 647
Time: 0.889542s, Enqueued packet 649
Time: 0.891946s, Enqueued packet 655
Time: 0.891946s, Enqueued packet 657
Time: 0.894349s, Enqueued packet 663
Time: 0.894349s, Enqueued packet 665
Time: 0.896752s, Enqueued packet 671
Time: 0.896752s, Enqueued packet 673
Time: 0.899155s, Enqueued packet 679
Time: 0.899155s, Enqueued packet 681
Time: 0.901558s, Enqueued packet 687
Time: 0.901558s, Enqueued packet 689
Time: 0.903962s, Enqueued packet 695
Time: 0.903962s, Enqueued packet 697
Time: 0.906365s, Enqueued packet 703
Time: 0.906365s, Enqueued packet 705
Time: 0.908768s, Enqueued packet 711
Time: 0.908768s, Enqueued packet 713
Time: 0.911171s, Enqueued packet 719
Time: 0.911171s, Enqueued packet 721
