Time: 1s, Queue size: 96 packets
Time: 2s, Queue size: 100 packets
Time: 3s, Queue size: 55 packets
Time: 4s, Queue size: 62 packets
Time: 5s, Queue size: 68 packets
Time: 6s, Queue size: 72 packets
Time: 7s, Queue size: 79 packets
Time: 8s, Queue size: 84 packets
Time: 9s, Queue size: 89 packets
Time: 10s, Queue size: 93 packets
Time: 11s, Queue size: 98 packets
Time: 12s, Queue size: 0 packets
Time: 13s, Queue size: 0 packets
Time: 14s, Queue size: 0 packets
Time: 15s, Queue size: 0 packets
Time: 16s, Queue size: 0 packets
Time: 17s, Queue size: 0 packets
Time: 18s, Queue size: 0 packets
Time: 19s, Queue size: 0 packets
Time: 20s, Queue size: 0 packets
Time: 21s, Queue size: 0 packets
Time: 22s, Queue size: 0 packets
Time: 23s, Queue size: 0 packets
Time: 24s, Queue size: 0 packets
Time: 25s, Queue size: 0 packets
Time: 26s, Queue size: 0 packets
Time: 27s, Queue size: 0 packets
Time: 28s, Queue size: 0 packets
Time: 29s, Queue size: 0 packets
Time: 30s, Queue size: 0 packets
Time: 31s, Queue size: 0 packets
Time: 32s, Queue size: 0 packets
Time: 33s, Queue size: 0 packets
Time: 34s, Queue size: 0 packets
Time: 35s, Queue size: 0 packets
Time: 36s, Queue size: 0 packets
Time: 37s, Queue size: 0 packets
Time: 38s, Queue size: 0 packets
Time: 39s, Queue size: 0 packets
