Time: 1s, Queue size: 31 packets
Time: 2s, Queue size: 54 packets
Time: 3s, Queue size: 72 packets
Time: 4s, Queue size: 93 packets
Time: 5s, Queue size: 75 packets
Time: 6s, Queue size: 90 packets
Time: 7s, Queue size: 99 packets
Time: 8s, Queue size: 74 packets
Time: 9s, Queue size: 81 packets
Time: 10s, Queue size: 86 packets
Time: 11s, Queue size: 86 packets
Time: 12s, Queue size: 85 packets
Time: 13s, Queue size: 86 packets
Time: 14s, Queue size: 95 packets
Time: 15s, Queue size: 71 packets
Time: 16s, Queue size: 85 packets
Time: 17s, Queue size: 94 packets
Time: 18s, Queue size: 70 packets
Time: 19s, Queue size: 79 packets
